,Timestamp [ns],Joint 0,Joint 1,Joint 2,Joint 3,Joint 4,Joint 5,Joint 6
0,136295795,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
1,232409954,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
2,332407712,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
3,432400226,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
4,532375335,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
5,632375717,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
6,732409715,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
7,832445621,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
8,932457447,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
9,32449722,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
10,132518768,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
11,232461929,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
12,332411050,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
13,432398080,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
14,532511472,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
15,632457017,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
16,732429265,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
17,832423686,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
18,932415246,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
19,32398700,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
20,132283210,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
21,232318162,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
22,332372426,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
23,432460069,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
24,532479524,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
25,632435798,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
26,732490301,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
27,832396268,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
28,932435989,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
29,32380104,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
30,132457256,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
31,232361078,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
32,332443237,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
33,432329654,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
34,532427072,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
35,631281375,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
36,731272459,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
37,832449197,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
38,932570457,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
39,32588243,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
40,132523536,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
41,232496023,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
42,332485675,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
43,432495832,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
44,532480239,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
45,632470130,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
46,732473134,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
47,832445621,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
48,932430267,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
49,32417535,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
50,132456541,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
51,232377529,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
52,332432746,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
53,432516336,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
54,532466411,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
55,632481575,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
56,732449769,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
57,832450628,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
58,932441711,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
59,32446622,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
60,132439613,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
61,232570171,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
62,332548141,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
63,432541608,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
64,532532930,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
65,632481336,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
66,732449054,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
67,832421541,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
68,932450771,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
69,32459735,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
70,132447957,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
71,232367515,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
72,332496881,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
73,432548046,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
74,532515287,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
75,632517576,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
76,732486963,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
77,832483768,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
78,932404518,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
79,32547235,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
80,132510900,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
81,232499599,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
82,332492113,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
83,432585239,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
84,532529115,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
85,632569551,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
86,732596635,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
87,832514524,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
88,932553529,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
89,32559871,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
90,132558822,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
91,232565641,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
92,332589149,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
93,432511091,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
94,532626152,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
95,632616281,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
96,732525587,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
97,832509756,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
98,932617425,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
99,32444953,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
100,132558822,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
101,232502222,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
102,332626104,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
103,432622671,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
104,532592058,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
105,634576320,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
106,732671260,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
107,832589626,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
108,932558059,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
109,32600879,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
110,132591009,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
111,232654571,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
112,332600355,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
113,432636260,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
114,532643318,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
115,632620096,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
116,732668638,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
117,832621574,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
118,932683229,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
119,32696247,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
120,132642984,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
121,232594013,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
122,332624912,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
123,432542324,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
124,532627820,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
125,632481575,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
126,732547521,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
127,832499980,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
128,932537794,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
129,32439947,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
130,132582426,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
131,232498645,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
132,332607269,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
133,432541847,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
134,532605648,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
135,632506608,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
136,732531785,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
137,832511425,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
138,932622909,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
139,32601594,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
140,132575035,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
141,232526779,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
142,332569360,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
143,432575702,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
144,532570362,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
145,632706880,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
146,732646703,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
147,832605838,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
148,932569742,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
149,32576560,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
150,132564783,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
151,232653856,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
152,332598686,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
153,432462692,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
154,532457590,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
155,632508516,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
156,732511520,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
157,832537174,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
158,932629108,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
159,32539367,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
160,132507562,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
161,232510566,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
162,332502841,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
163,432598590,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
164,532659530,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
165,632558107,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
166,732533693,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
167,832596302,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
168,932638883,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
169,32655954,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
170,132620573,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
171,232595443,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
172,332627534,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
173,432607412,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
174,532670259,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
175,632579565,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
176,732469320,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
177,832511425,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
178,932520389,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
179,32527446,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
180,132515430,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
181,232561349,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
182,332513809,180.0,180.00625610351562,180.0160369873047,180.0,180.0243377685547,180.0,180.0
183,432684183,179.89512634277344,180.1103515625,180.1042938232422,179.9011688232422,180.1796875,180.1950225830078,179.7164764404297
184,532649278,179.89501953125,180.11045837402344,180.1042938232422,179.9006805419922,180.17982482910156,180.1950225830078,179.71661376953125
185,632583618,179.89501953125,180.11045837402344,180.1042938232422,179.9005889892578,180.17982482910156,180.1950225830078,179.7164764404297
186,732565164,179.89501953125,180.1105499267578,180.1042938232422,179.90049743652344,180.17982482910156,180.1950225830078,179.7164764404297
187,832577228,179.89501953125,180.1105499267578,180.1042938232422,179.90049743652344,180.17982482910156,180.1950225830078,179.7164764404297
188,932578802,179.89501953125,180.1105499267578,180.1042938232422,179.90049743652344,180.17982482910156,180.1950225830078,179.7164764404297
189,32612085,179.89501953125,180.1105499267578,180.10440063476562,179.900390625,180.17982482910156,180.1950225830078,179.7164764404297
190,132575035,179.89501953125,180.1106414794922,180.10440063476562,179.900390625,180.17982482910156,180.1950225830078,179.7164764404297
191,232564926,179.89501953125,180.1106414794922,180.10440063476562,179.900390625,180.17982482910156,180.1950225830078,179.7164764404297
192,334529161,179.89501953125,180.1106414794922,180.10440063476562,179.900390625,180.17982482910156,180.1950225830078,179.7164764404297
193,432571649,179.89501953125,180.1106414794922,180.10440063476562,179.900390625,180.17982482910156,180.1950225830078,179.7164764404297
194,532584190,179.89501953125,180.1106414794922,180.10440063476562,179.900390625,180.17982482910156,180.1950225830078,179.7164764404297
195,632600784,179.89501953125,180.1106414794922,180.10440063476562,179.900390625,180.17982482910156,180.1950225830078,179.7164764404297
196,732575178,179.89501953125,180.1106414794922,180.10440063476562,179.90029907226562,180.17982482910156,180.1950225830078,179.7164764404297
197,832579612,179.89501953125,180.1106414794922,180.10440063476562,179.90029907226562,180.17982482910156,180.1950225830078,179.7164764404297
198,932671070,179.89501953125,180.1106414794922,180.10440063476562,179.90029907226562,180.17982482910156,180.1950225830078,179.7164764404297
199,32633304,179.89501953125,180.1106414794922,180.10440063476562,179.90029907226562,180.17982482910156,180.1950225830078,179.7164764404297
200,132601737,179.89501953125,180.1106414794922,180.10440063476562,179.90029907226562,180.17982482910156,180.1950225830078,179.7164764404297
201,232643365,179.89501953125,180.1106414794922,180.10440063476562,179.90029907226562,180.17982482910156,180.1950225830078,179.7164764404297
202,332602024,179.89501953125,180.1106414794922,180.10440063476562,179.90029907226562,180.17982482910156,180.1950225830078,179.7164764404297
203,432535886,179.89501953125,180.1106414794922,180.10440063476562,179.90029907226562,180.17982482910156,180.1950225830078,179.7164764404297
204,532668113,179.89501953125,180.1106414794922,180.10440063476562,179.90029907226562,180.17982482910156,180.1950225830078,179.7164764404297
205,634549140,179.89501953125,180.1106414794922,180.10440063476562,179.90029907226562,180.17982482910156,180.1950225830078,179.7164764404297
206,733613252,179.89501953125,180.1106414794922,180.10440063476562,179.90029907226562,180.17982482910156,180.1950225830078,179.7164764404297
207,832640171,179.89501953125,180.1106414794922,180.10440063476562,179.90029907226562,180.17982482910156,180.1950225830078,179.7164764404297
208,932613372,179.89501953125,180.1106414794922,180.10440063476562,179.90029907226562,180.17982482910156,180.1950225830078,179.7164764404297
209,32685279,179.89501953125,180.1106414794922,180.10440063476562,179.90029907226562,180.17982482910156,180.1950225830078,179.7164764404297
210,134422302,179.89501953125,180.1106414794922,180.10440063476562,179.90029907226562,180.17982482910156,180.1950225830078,179.7164764404297
211,232769966,179.89501953125,180.1106414794922,180.10440063476562,179.90029907226562,180.17982482910156,180.1950225830078,179.7164764404297
212,332678079,179.89501953125,180.1105499267578,180.10440063476562,179.9001922607422,180.17982482910156,180.1950225830078,179.7164764404297
213,432715892,179.89501953125,180.1106414794922,180.10440063476562,179.9001922607422,180.17982482910156,180.1950225830078,179.7164764404297
214,532689094,179.89501953125,180.1106414794922,180.10440063476562,179.9001922607422,180.17982482910156,180.1950225830078,179.7164764404297
215,632498502,179.89501953125,180.10888671875,180.10440063476562,179.89981079101562,180.17982482910156,180.1950225830078,179.7164764404297
216,732585906,179.89501953125,179.9806671142578,180.1044921875,179.8971710205078,180.17982482910156,180.1950225830078,179.7164764404297
217,832566022,179.89501953125,179.130859375,180.1044921875,179.89170837402344,180.17982482910156,180.1950225830078,179.7164764404297
218,932593584,179.89501953125,177.17861938476562,180.1044921875,179.8916015625,180.17982482910156,180.1950225830078,179.7164764404297
219,32623767,179.89501953125,174.5075225830078,180.1044921875,179.8922882080078,180.17982482910156,180.1950225830078,179.7164764404297
220,132712841,179.89492797851562,171.80137634277344,180.10459899902344,179.8928680419922,180.17982482910156,180.1950225830078,179.7164764404297
221,232627630,179.89501953125,169.50341796875,180.10459899902344,179.89395141601562,180.17982482910156,180.1950225830078,179.7164764404297
222,332604169,179.89512634277344,167.5974578857422,180.10459899902344,179.89501953125,180.17982482910156,180.19515991210938,179.7164764404297
223,432579278,179.89492797851562,165.77188110351562,180.10459899902344,179.89541625976562,180.17982482910156,180.1953125,179.7164764404297
224,532693862,179.89492797851562,163.65078735351562,180.10459899902344,179.8955078125,180.17982482910156,180.1953125,179.7164764404297
225,632652997,179.89463806152344,161.03575134277344,180.1046905517578,179.89599609375,180.17982482910156,180.1953125,179.7164764404297
226,732575654,179.89463806152344,157.97862243652344,180.1046905517578,179.8994140625,180.17982482910156,180.19544982910156,179.7164764404297
227,832509279,179.89453125,154.7146453857422,180.1046905517578,179.9035186767578,180.17982482910156,180.19544982910156,179.7164764404297
228,932568311,179.89453125,151.50439453125,180.1046905517578,179.91357421875,180.17996215820312,180.19544982910156,179.7164764404297
229,32581567,179.89453125,148.64590454101562,180.1047821044922,179.92002868652344,180.17996215820312,180.19544982910156,179.7164764404297
230,132571935,179.89404296875,146.2610321044922,180.1047821044922,179.92051696777344,180.17996215820312,180.19544982910156,179.7164764404297
231,232614517,179.89395141601562,144.2365264892578,180.1047821044922,179.92031860351562,180.17996215820312,180.19544982910156,179.7164764404297
232,332571506,179.89053344726562,142.5324249267578,180.1047821044922,179.9196319580078,180.17982482910156,180.19544982910156,179.7164764404297
233,432579278,179.87344360351562,140.98281860351562,180.1047821044922,179.91885375976562,180.17996215820312,180.19544982910156,179.7164764404297
234,532661676,179.78799438476562,139.36729431152344,180.1047821044922,179.9186553955078,180.17996215820312,180.19558715820312,179.7164764404297
235,632579803,179.5563507080078,137.12442016601562,180.1047821044922,179.919921875,180.17982482910156,180.19558715820312,179.7164764404297
236,732572317,179.1042938232422,134.0090789794922,180.1047821044922,180.0686492919922,180.17996215820312,180.19558715820312,179.7164764404297
237,832600831,178.63613891601562,130.59619140625,180.10459899902344,181.17666625976562,180.17996215820312,180.19558715820312,179.7164764404297
238,932658195,177.34912109375,127.3212890625,180.1044921875,183.5793914794922,180.1802520751953,180.19558715820312,179.7164764404297
239,32668352,175.25234985351562,124.60869598388672,180.10459899902344,187.2926788330078,180.18167114257812,180.19558715820312,179.7164764404297
240,132669925,172.40664672851562,122.34619140625,180.10508728027344,191.5888671875,180.1819610595703,180.19558715820312,179.7164764404297
241,232645988,169.3732452392578,120.0469741821289,180.10546875,196.0925750732422,180.182373046875,180.19558715820312,179.7164764404297
242,332704782,166.46543884277344,116.87920379638672,180.10557556152344,200.5759735107422,180.18280029296875,180.19558715820312,179.7164764404297
243,432703971,163.9845733642578,112.8838882446289,180.10655212402344,205.0071258544922,180.18295288085938,180.19558715820312,179.7164764404297
244,532691955,161.9064483642578,108.75605773925781,180.1085968017578,209.4533233642578,180.18309020996094,180.19558715820312,179.7164764404297
245,632612943,159.79483032226562,105.3902359008789,180.1203155517578,213.7802734375,180.18309020996094,180.19544982910156,179.7164764404297
246,732636451,156.9921875,103.50341796875,180.2307586669922,217.76943969726562,180.18338012695312,180.19544982910156,179.7164764404297
247,832674503,153.29833984375,102.8349609375,180.71817016601562,221.14492797851562,180.18365478515625,180.1953125,179.7164764404297
248,932690620,148.8068389892578,102.7701187133789,181.59268188476562,223.85704040527344,180.18380737304688,180.1953125,179.7164764404297
249,32627105,144.1223602294922,102.7666015625,182.58360290527344,225.91836547851562,180.18380737304688,180.1953125,179.7164764404297
250,132610082,139.47119140625,102.7203140258789,183.4796905517578,227.56826782226562,180.18380737304688,180.1953125,179.7164764404297
251,232597827,135.0959014892578,102.5599594116211,184.19287109375,228.9298858642578,180.18380737304688,180.1953125,179.7164764404297
